time,latitude,longitude,altitude,speed,yaw,pitch,roll,yaw_rate,pitch_rate,roll_rate
7.4,32.1067509720,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.5,32.1065719311,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.6,32.1063928902,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.7,32.1062138493,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.8,32.1060348084,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.9,32.1058557674,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.0,32.1056767265,126.0000000000,300.002,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.1,32.1054976856,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.2,32.1053186447,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.3,32.1051396038,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.4,32.1049605629,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.5,32.1047815219,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.6,32.1046024810,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.7,32.1044234401,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.8,32.1042443992,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.9,32.1040653583,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.0,32.1038863173,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.1,32.1037072764,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.2,32.1035282355,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.3,32.1033491946,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.4,32.1031701537,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.5,32.1029911128,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.6,32.1028120718,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.7,32.1026330309,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.8,32.1024539900,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.9,32.1022749491,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.0,32.1020959082,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.1,32.1019168672,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.2,32.1017378263,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.3,32.1015587854,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.4,32.1013797445,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.5,32.1012007036,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.6,32.1010216627,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.7,32.1008426217,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.8,32.1006635808,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.9,32.1004845399,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.0,32.1003054990,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.1,32.1001264581,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.2,32.0999474171,126.0000000000,300.003,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.3,32.0997683762,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.4,32.0995893353,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.5,32.0994102944,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.6,32.0992312535,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.7,32.0990522125,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.8,32.0988731716,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.9,32.0986941307,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.0,32.0985150898,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.1,32.0983360489,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.2,32.0981570080,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.3,32.0979779670,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.4,32.0977989261,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.5,32.0976198852,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.6,32.0974408443,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.7,32.0972618034,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.8,32.0970827624,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.9,32.0969037215,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.0,32.0967246806,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.1,32.0965456397,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.2,32.0963665988,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.3,32.0961875579,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.4,32.0960085169,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.5,32.0958294760,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.6,32.0956504351,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.7,32.0954713942,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.8,32.0952923533,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.9,32.0951133123,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.0,32.0949342714,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.1,32.0947552305,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.2,32.0945761896,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.3,32.0943971487,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.4,32.0942181078,126.0000000000,300.004,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.5,32.0940390668,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
